Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
11.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2v65xqf9xnj8r2gxj9akbtqfo,2026-03-15 15:15:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 2-5,26.0,94.0,22.7%,36.4%,16.0,17.0,2.0,32.0,33,33.1%,42.4%,67.4%,32,9.0,42.0,7.0,42,4.0,23,0.0,47.6%,10.0,7.0,0.0,60.0,156.0,164.0,208.0,52.0,320,9.0,2.0,0.0,0.0,34.2%,130,0.83,48.2%,22.0,11.0,1.0,0.0,240.0,37.3,13.0,-,27.8%,11.1%,16.7%,3.4%,20.1,34.2%,8.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2pwdpb63byqohajaokb5793pw,2026-03-08 18:30:00,10eyb18v5puw4ez03ocaug09m,True,False,False,False,True,SEV,SEV,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 1-1,10.0,132.0,24.2%,27.3%,12.0,19.0,3.0,25.0,45,46.3%,39.2%,56.5%,22,16.0,36.0,2.0,36,4.0,28,0.0,57.3%,6.0,5.0,1.0,55.0,118.0,119.0,111.0,71.0,237,5.0,1.0,0.0,0.0,41.3%,117,1.0,67.2%,29.0,13.0,2.0,2.0,193.0,32.5,29.0,-,25.0%,15.0%,20.0%,40.8%,25.1,41.3%,11.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2napzcxsfy1ju0ixutyi6z8yc,2026-03-01 17:30:00,10eyb18v5puw4ez03ocaug09m,False,True,False,False,True,SEV,SEV,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,D 2-2,13.0,146.0,38.2%,44.1%,24.0,23.0,3.0,60.0,61,62.1%,51.7%,56.2%,37,16.0,58.0,3.0,58,11.0,49,0.0,66.3%,7.0,5.0,0.0,61.0,107.0,114.0,103.0,57.0,221,4.0,2.0,0.0,0.0,29.7%,157,0.87,56.7%,24.0,19.0,3.0,3.0,388.0,37.3,20.0,-,20.0%,10.0%,13.3%,7.1%,28.4,29.7%,14.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2hktnqo0d8lx8h65s2ac67ac4,2026-02-22 13:00:00,10eyb18v5puw4ez03ocaug09m,False,True,True,False,False,SEV,SEV,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 1-0,9.0,109.0,46.3%,48.8%,19.0,23.0,1.0,61.0,57,66.8%,68.7%,58.8%,29,14.0,51.0,4.0,51,4.0,44,0.0,49.4%,9.0,7.0,0.0,41.0,83.0,86.0,82.0,46.0,169,6.0,1.0,0.0,0.0,32.6%,174,0.32,56.6%,36.0,22.0,2.0,1.0,284.0,31.3,15.0,-,19.0%,9.5%,4.8%,59.6%,28.8,32.6%,6.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2h7d8ukaxlbxzfalz2jej5us4,2026-02-14 17:30:00,10eyb18v5puw4ez03ocaug09m,True,False,False,False,True,SEV,SEV,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,D 1-1,32.0,79.0,25.0%,28.6%,7.0,15.0,3.0,15.0,18,17.3%,38.2%,63.3%,18,7.0,26.0,3.0,26,3.0,21,0.0,49.1%,12.0,5.0,0.0,106.0,182.0,108.0,126.0,58.0,290,12.0,1.0,0.0,0.0,44.7%,88,0.27,50.0%,24.0,7.0,1.0,3.0,112.0,37.4,8.0,-,33.3%,0.0%,25.0%,20.3%,16.7,44.7%,4.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2b7m8c3nipodfdjjb4e6akqok,2026-02-08 15:15:00,10eyb18v5puw4ez03ocaug09m,True,False,False,False,True,SEV,SEV,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 1-1,21.0,185.0,26.5%,29.4%,18.0,16.0,5.0,46.0,63,60.3%,43.8%,48.2%,22,9.0,49.0,8.0,49,7.0,53,1.0,55.2%,6.0,4.0,0.0,80.0,126.0,142.0,97.0,91.0,268,9.0,1.0,0.0,0.0,28.9%,125,0.83,61.8%,31.0,22.0,3.0,1.0,347.0,37.4,20.0,-,29.6%,7.4%,11.1%,9.1%,26.5,28.9%,11.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),28z661pl07w40fr1in36f97o4,2026-02-02 20:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,L 1-4,21.0,211.0,45.5%,69.7%,21.0,14.0,5.0,58.0,61,68.5%,64.3%,51.8%,26,15.0,59.0,7.0,59,9.0,70,1.0,52.7%,8.0,9.0,0.0,59.0,104.0,143.0,92.0,96.0,247,4.0,0.0,0.0,1.0,27.4%,153,1.13,59.0%,28.0,26.0,2.0,3.0,386.0,33.9,17.0,-,20.0%,0.0%,30.0%,14.1%,29.0,27.4%,15.0,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),25kz3clipo3v4d1gp3m23n5ec,2026-01-24 17:30:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 2-1,37.0,97.0,31.6%,36.8%,25.0,19.0,3.0,31.0,56,32.5%,60.4%,69.8%,34,16.0,45.0,7.0,45,8.0,16,0.0,52.2%,9.0,5.0,0.0,97.0,164.0,123.0,130.0,60.0,287,9.0,2.0,0.0,0.0,36.8%,137,2.07,54.3%,49.0,17.0,2.0,1.0,258.0,33.1,15.0,-,12.5%,8.3%,25.0%,61.9%,19.4,36.8%,10.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),21t9p2uvl57vfs1xsytfooxzo,2026-01-19 20:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,False,True,SEV,SEV,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,D 2-2,24.0,178.0,31.0%,37.9%,26.0,17.0,6.0,48.0,40,51.0%,49.9%,55.2%,29,11.0,55.0,4.0,55,16.0,50,1.0,55.4%,4.0,6.0,0.0,77.0,139.0,123.0,114.0,71.0,262,7.0,2.0,0.0,0.0,39.3%,129,3.0,48.2%,48.0,15.0,2.0,3.0,240.0,33.5,28.0,-,35.7%,7.1%,25.0%,9.8%,21.1,39.3%,25.0,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1w0ngrj3bf0ruv81ra4w2muj8,2026-01-12 20:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,L 0-1,12.0,167.0,27.8%,36.1%,17.0,18.0,3.0,61.0,58,68.7%,51.8%,50.6%,46,25.0,93.0,16.0,93,5.0,42,0.0,59.3%,3.0,6.0,0.0,48.0,95.0,135.0,88.0,94.0,230,3.0,0.0,0.0,0.0,31.7%,143,0.29,63.6%,20.0,30.0,1.0,3.0,258.0,31.2,13.0,-,19.4%,0.0%,22.6%,36.4%,24.6,31.7%,7.0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1tethtdduidjywarrz3qiyx3o,2026-01-04 13:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,L 0-3,7.0,198.0,25.7%,37.1%,25.0,14.0,3.0,72.0,55,73.3%,56.8%,49.1%,28,21.0,61.0,6.0,61,11.0,61,0.0,48.8%,4.0,6.0,0.0,39.0,85.0,120.0,84.0,82.0,205,2.0,0.0,0.0,0.0,33.6%,171,1.7,61.9%,24.0,14.0,3.0,8.0,344.0,30.7,19.0,-,7.4%,3.7%,33.3%,27.6%,29.7,33.6%,15.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1nc8632r4hii9bl1ygnappkpg,2025-12-20 20:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 0-2,37.0,113.0,8.7%,21.7%,11.0,18.0,2.0,35.0,57,36.8%,55.0%,66.0%,38,9.0,55.0,4.0,55,11.0,33,0.0,50.3%,3.0,8.0,0.0,84.0,154.0,89.0,114.0,45.0,243,6.0,0.0,0.0,0.0,29.5%,129,1.56,36.8%,28.0,20.0,0.0,1.0,384.0,35.4,13.0,-,20.0%,5.0%,20.0%,10.6%,39.6,29.5%,14.0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1lud5oppwm3ngiyzarvb1zoyc,2025-12-14 13:00:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 4-0,13.0,125.0,25.8%,29.0%,21.0,15.0,0.0,28.0,48,50.6%,58.5%,64.8%,22,11.0,32.0,6.0,32,6.0,35,0.0,50.9%,3.0,9.0,0.0,57.0,108.0,108.0,107.0,52.0,216,10.0,4.0,0.0,0.0,33.5%,144,2.03,61.1%,23.0,18.0,0.0,0.0,336.0,30.9,18.0,-,18.8%,18.8%,31.3%,89.4%,28.9,33.5%,13.0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1ifuis5x6296qke087rpwo5jo,2025-12-07 15:15:00,10eyb18v5puw4ez03ocaug09m,False,True,False,False,True,SEV,SEV,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,D 1-1,21.0,76.0,31.0%,41.4%,21.0,15.0,3.0,33.0,31,44.8%,55.2%,68.6%,26,7.0,35.0,1.0,35,4.0,29,0.0,49.6%,6.0,9.0,0.0,67.0,128.0,116.0,125.0,52.0,244,9.0,1.0,0.0,0.0,36.5%,163,0.29,55.1%,40.0,13.0,1.0,1.0,198.0,34.9,14.0,-,17.6%,5.9%,29.4%,50.0%,19.3,36.5%,4.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1eaz7mdny12eiuyeysnycnw2c,2025-11-30 15:15:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,L 0-2,24.0,162.0,38.1%,42.9%,19.0,21.0,3.0,45.0,68,66.7%,61.8%,51.9%,26,13.0,41.0,4.0,41,7.0,53,0.0,52.8%,7.0,6.0,0.0,57.0,91.0,115.0,73.0,76.0,206,9.0,0.0,0.0,0.0,34.1%,143,0.35,53.2%,29.0,20.0,3.0,1.0,284.0,31.3,24.0,-,10.3%,10.3%,24.1%,26.9%,26.6,34.1%,9.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
