Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,PrlgcnesCabza,Presiones AltasP90,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,Goles desde el Area,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
22.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2i1fz7uysfcivnrqrbpsybfo4,2026-02-21 17:30:00,3kq9cckrnlogidldtdie2fkbl,False,True,False,True,False,RMA,RMA,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,L 1-2,20.0,216.0,29.6%,37.0%,17.0,21.0,4.0,77.0,91,1.0,242.0,60.4%,62.0%,49.0%,25,23.0,56.0,5.0,56,10.0,81,1.0,63.2%,5.0,5.0,0.0,84.0,134.0,108.0,90.0,68.0,242,4.0,1.0,1.0,0.0,0.0,27.0%,154,1.7,54.9%,26.0,23.0,0.0,4.0,370.0,36.0,8.0,-,21.2%,6.1%,6.1%,21.2%,35.9,27.0%,15.0,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2bl3hdm49yj3nhnvngy8p6qs4,2026-02-08 20:00:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,W 2-0,21.0,212.0,41.4%,48.3%,18.0,16.0,4.0,69.0,57,2.0,200.0,66.0%,50.9%,40.6%,21,25.0,57.0,7.0,57,7.0,116,1.0,40.8%,4.0,8.0,0.0,49.0,98.0,102.0,96.0,55.0,200,7.0,2.0,2.0,0.0,0.0,28.1%,157,0.96,65.5%,39.0,17.0,2.0,0.0,370.0,34.9,15.0,-,19.4%,8.3%,5.6%,52.4%,29.5,28.1%,11.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38r38grppqfwcb99s9ikyv6s4,2026-04-24 19:00:00,3kq9cckrnlogidldtdie2fkbl,False,True,False,False,True,RMA,RMA,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,D 1-1,28.0,187.0,19.4%,35.5%,17.0,21.0,1.0,76.0,68,1.0,315.0,48.2%,48.5%,48.8%,34,17.0,58.0,7.0,58,9.0,71,1.0,48.8%,6.0,2.0,0.0,102.0,165.0,150.0,133.0,80.0,315,13.0,1.0,1.0,0.0,0.0,31.7%,170,1.19,63.0%,15.0,24.0,1.0,2.0,331.0,33.5,23.0,-,18.9%,24.3%,5.4%,64.4%,31.7,31.7%,12.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3e4k0muk9qdqz748em5e5dtzo,2026-04-21 19:30:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 2-1,32.0,246.0,37.8%,43.2%,25.0,22.0,3.0,92.0,89,1.0,256.0,62.9%,56.6%,44.7%,40,34.0,90.0,12.0,90,16.0,113,0.0,54.1%,8.0,4.0,1.0,92.0,142.0,114.0,99.0,65.0,256,7.0,0.0,0.0,2.0,0.0,30.9%,195,1.62,68.8%,32.0,29.0,0.0,1.0,400.0,38.3,31.0,-,14.3%,7.1%,4.8%,80.8%,33.3,30.9%,24.0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2gtyyqnsw87ojqc60b9b50dn8,2026-02-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,W 4-1,20.0,184.0,8.3%,16.7%,9.0,19.0,3.0,38.0,66,1.0,259.0,54.3%,49.0%,50.4%,46,22.0,74.0,9.0,74,7.0,87,1.0,42.9%,4.0,5.0,0.0,66.0,134.0,125.0,127.0,66.0,259,10.0,4.0,4.0,0.0,0.0,26.2%,153,3.12,54.8%,21.0,22.0,0.0,1.0,471.0,35.6,15.0,-,8.7%,13.0%,4.3%,87.5%,38.4,26.2%,11.0,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1m7vig0k2tt5q9apse7108pas,2025-12-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 2-1,18.0,146.0,15.2%,27.3%,26.0,8.0,4.0,45.0,69,0.0,294.0,54.2%,42.5%,50.8%,28,21.0,50.0,4.0,50,7.0,40,0.0,54.8%,7.0,3.0,0.0,74.0,128.0,166.0,149.0,71.0,294,7.0,2.0,2.0,0.0,0.0,27.9%,129,1.83,64.6%,35.0,17.0,1.0,0.0,302.0,37.1,26.0,-,20.8%,16.7%,4.2%,58.2%,21.9,27.9%,13.0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ql6gx72pau1cocng395b63h0,2026-05-14 19:30:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 2-0,12.0,221.0,31.6%,36.8%,19.0,11.0,5.0,83.0,67,2.0,190.0,76.7%,53.1%,41.6%,21,27.0,60.0,2.0,60,14.0,112,1.0,55.0%,3.0,7.0,0.0,44.0,75.0,115.0,81.0,65.0,190,5.0,2.0,2.0,0.0,0.0,26.0%,160,1.36,47.5%,17.0,20.0,2.0,0.0,432.0,36.5,21.0,-,24.1%,6.9%,3.4%,68.4%,42.4,26.0%,19.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),jfjnqx2yal5t4pcccve1zg9g,2025-09-23 19:30:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,W 4-1,17.0,212.0,36.7%,56.7%,18.0,29.0,7.0,105.0,99,1.0,221.0,70.9%,54.4%,45.4%,38,34.0,86.0,5.0,86,16.0,104,1.0,54.2%,6.0,6.0,1.0,52.0,98.0,123.0,106.0,63.0,221,3.0,4.0,3.0,0.0,1.0,27.2%,189,3.94,69.2%,29.0,35.0,1.0,0.0,463.0,36.8,26.0,-,19.4%,19.4%,3.2%,69.6%,36.7,27.2%,24.0,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1c2s2pxxqc6pp652crmn64etw,2025-11-30 20:00:00,3kq9cckrnlogidldtdie2fkbl,False,True,False,False,True,RMA,RMA,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 1-1,15.0,345.0,44.2%,60.5%,15.0,19.0,18.0,78.0,59,1.0,260.0,72.6%,43.3%,32.7%,24,24.0,70.0,7.0,70,18.0,161,0.0,51.0%,6.0,8.0,0.0,52.0,109.0,151.0,104.0,104.0,260,7.0,1.0,1.0,0.0,0.0,24.9%,152,2.53,58.6%,24.0,22.0,2.0,1.0,523.0,36.6,15.0,-,11.8%,23.5%,2.9%,22.9%,27.7,24.9%,25.0,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2m4sef2l4im49rda90k3p41lg,2026-03-02 20:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,False,True,False,RMA,RMA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 0-1,13.0,243.0,36.7%,40.0%,19.0,21.0,2.0,98.0,106,1.0,182.0,80.0%,71.8%,42.1%,19,29.0,74.0,6.0,74,14.0,106,0.0,56.5%,5.0,2.0,0.0,48.0,85.0,97.0,76.0,58.0,182,7.0,0.0,0.0,0.0,0.0,26.2%,177,1.91,61.5%,36.0,42.0,2.0,2.0,431.0,36.6,33.0,-,27.0%,5.4%,2.7%,38.8%,40.1,26.2%,18.0,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),334grr0hqs8zr92mx518hdjpw,2026-04-04 14:15:00,3kq9cckrnlogidldtdie2fkbl,False,True,False,True,False,RMA,RMA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,L 1-2,12.0,229.0,37.0%,44.4%,18.0,15.0,2.0,84.0,59,0.0,198.0,66.6%,61.4%,51.3%,29,21.0,55.0,4.0,55,13.0,66,0.0,51.5%,6.0,2.0,0.0,50.0,100.0,98.0,89.0,59.0,198,2.0,1.0,1.0,0.0,0.0,32.0%,182,1.28,71.9%,31.0,28.0,1.0,0.0,372.0,37.3,14.0,-,18.9%,2.7%,2.7%,20.6%,29.9,32.0%,15.0,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),qll7e8qbbmjfzxvwpi96cg0k,2025-10-04 19:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,W 3-1,11.0,337.0,27.8%,36.1%,19.0,22.0,9.0,94.0,96,1.0,198.0,78.0%,57.3%,35.4%,20,27.0,79.0,6.0,79,17.0,128,1.0,50.0%,7.0,4.0,1.0,50.0,89.0,109.0,77.0,71.0,198,5.0,3.0,2.0,1.0,0.0,26.7%,190,3.52,68.2%,34.0,35.0,1.0,3.0,582.0,35.5,36.0,-,23.9%,6.5%,2.2%,75.7%,32.8,26.7%,26.0,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ahwl5kztusj3oxv74lxw8pas,2025-09-13 14:15:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,W 2-1,37.0,129.0,40.0%,44.0%,14.0,14.0,3.0,29.0,41,1.0,282.0,29.2%,46.5%,55.4%,23,8.0,34.0,6.0,34,12.0,27,1.0,52.3%,4.0,3.0,0.0,126.0,199.0,83.0,107.0,49.0,282,15.0,1.0,2.0,0.0,0.0,36.6%,115,2.42,64.3%,26.0,9.0,1.0,0.0,199.0,35.2,23.0,-,43.8%,12.5%,0.0%,58.6%,19.8,36.6%,16.0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
